year      PopulationPopulationSurface arGNI per caGNI per caLife expecFertility AdolescentContraceptBirths attMortality PrevalenceImmunizatiSchool enrSchool enrForest areWater prodImproved wImproved sEnergy useCO2 emissiElectric pGDP growth
      1960 1806710001.70199278         0         0         069.7707317     3.654   84.9872         0         0      30.1         0         0         0         0         0         0         0         05641.7407615.99977924049.78663         0
      1961 1836910001.65773004   9629090         0         070.2707317      3.62   82.7346         0         0      29.5         0         0         0         0         0         0         0         0 5612.079515.6812555 4182.1755       2.3
      1962 1865380001.53799736   9629090      3280         070.1195122     3.461    80.482         0         0      28.9         0         0         0         0         0         0         0         05774.5863216.01393754433.60602       6.1
      1963 1892420001.43916476   9629090      3410         069.9170732     3.319   77.9506         0         0      28.3         0         0         0         0         0         0         0         05986.7839516.48276224690.48626       4.4
      1964 1918890001.38904606   9629090      3610         070.1658537      3.19   75.4192         0         0      27.7         0         0         0         0         0         0         0         06136.9382316.96811864970.44646       5.8
      1965 1943030001.25017165   9629090      3880         070.2146342     2.913   72.8878         0         0      27.1         0         0         0         0         0         0         0         0 6307.890217.4517253  5234.685       6.4
      1966 1965600001.15489319   9629090      4190         070.2121951     2.721   70.3564         0         0      26.4         0         0         0         0         0         0         0         06591.34056 18.1210735590.33374       6.5
      1967 1987120001.08888121   9629090      4370         070.5609756     2.558    67.825         0         0      25.7         0         0         0         0         0         0         0         06809.8204818.59831795888.34092       2.5
      1968 2007060000.99846104   9629090      4740         069.9512195     2.464    66.466         0         0      24.9         0         0         0         0         0         0         0         07073.4789519.08938926385.45933       4.8
      1969 2026770000.97724281   9629090      5070         070.5073171     2.456    65.107         0         0      24.1         2         0         0         0         0         0         0         07332.3685519.8579457 6904.8338       3.1
      1970 2050520001.16500267   9629090      5360         070.8073171      2.48    63.748      67.6         0      23.3         0         0         0         0         0         0         0         0 7569.076621.11125237236.657043.20680726
      1971 2076610001.26433369   9629090      5700         071.1073171     2.266    62.389         0         0      22.4         0         083.8432007         0         0         0         0         0 7644.524820.98020357517.304653.29547673
      1972 2098960001.07052275   9629090      6290         071.1560976      2.01     61.03         0         0      21.5         0         084.8490601         0         0         0         0         07940.99783 21.7486428076.409275.26326278
      1973 2119090000.95447673   9629090      7310         071.3560976     1.879   59.3726      69.6         0      20.6         0         0         0         0         0         0         0         08163.6037922.51058218573.194155.64312485
      1974 213854000 0.9136602   9629090      8000         071.9560976     1.835   57.7152         0         0      19.7         0         085.1627274         0         0         0         0         07909.5864821.50293048449.92846-0.5171546
      1975 2159730000.98598607   9629090      8530         072.6048781     1.774   56.0578        79         0      18.8         0         085.1871338         0         0         0         0         07656.2635820.4022241  8522.394-0.1976785
      1976 2180350000.95022005   9629090      8980         072.8560976     1.738   54.4004      67.7         0      17.9         0         085.3626785         0         0         0         0         08100.5622221.15761548968.775665.38609005
      1977 220239000  1.005772   9629090      9610         073.2560976      1.79    52.743         0         0      17.1         0         085.4056473         0         0         0         0         0 8285.5709 21.5324849337.724024.60859741
      1978 2225850001.05957308   9629090     10790         073.3560976      1.76   52.5098         0         0      16.3         0         085.0981979         0         0         0         0         08438.4030821.97300479560.545415.56168493
      1979 2250550001.10357657   9629090     12230         073.8048781     1.808   52.2766         0         0      15.6         0         078.5742188         0         0         0         0         08327.04171 21.7804379700.695393.17569075
      1980 2272250000.95958992   9629090     13410         073.6097561    1.8395   52.0434         0         0        15         0        8690.8430481         0         0         0         0         07942.2530220.7864877 9862.3655-0.2445962
      1981 2294660000.98141544   9629090     14400         074.0097561     1.812   51.8102         0         0      14.4         0        9789.53389741.03199995         0         0         0         07647.5380519.76676429976.693722.59447039
      1982 2316640000.95331757   9629090     14230         074.3609756    1.8275    51.577      69.5         0      13.9         0        9792.75406651.02737999         012.6918465         0         0 7259.078918.59049529544.46094-1.9108911
      1983 2337920000.91437851   9629090     14590         074.4634146     1.799   51.9174         0         0      13.4         0        9892.92421721.01754999         0         0         0         07199.1185318.57154379742.005714.63245718
      1984 2358250000.86581734   9629090     16230         074.5634146    1.8065   52.2578         0         0        13         0        98 94.9150621.02095997         0         0         0         07443.3200218.976750310282.37467.25908696
      1985 2379240000.88612904   9629090     17510         074.5634146     1.844   52.5982         0         0      12.7         0        9793.96093751.01995003         0         0         0         0 7456.262918.882312710414.20794.23873752
      1986 2401330000.92416416   9629090     19160         074.6146342    1.8375   52.9386         0         0      12.4         0        9795.04894261.02289999         0         0         0         07376.0962418.720722710424.4273 3.5116145
      1987 242289000 0.8938292   9629090     21460         074.7658537     1.872    53.279         0         0      12.1         0        8295.24610141.01338995         0         0         0         07622.1730219.350334410886.85833.46174769
      1988 2444990000.90799904   9629090     23580         074.7658537     1.934   54.5456      74.3         0      11.9         0        98         0         0         0         0         0         07849.7539720.010413411298.33254.20397198
      1989 2468190000.94440556   9629090     23860         075.0170732     2.014   55.8122         0        99      11.6         0        94         0         0         0         0         0         0 7890.287220.075769811531.93233.68052403
      1990 2496230001.12965052   9629090     24150     2373075.2146342     2.081   57.0788      70.7      99.2      11.2         0        9091.00752261.00496995   3024500         0      98.4      99.57671.7730719.322751211713.3317 1.9193703
      1991 2529810001.33626074   9629090     24370     2418075.3658537    2.0625   58.3454         0      99.2      10.90.89999998        8790.87973791.00659001   3025586         0      98.4      99.57631.4678119.056163212134.1721-0.0740845
      1992 2565140001.38688569   9629090     25780     2518075.6170732     2.046    59.612         0      99.3      10.5         0        83         0         0   302667216.7704908      98.5      99.6 7677.401419.139437312014.95833.55539615
      1993 259919000   1.31868   9629090     26480     2600075.4195122    2.0195   57.9556         0      99.4      10.1         0        8495.36197660.99642003   3027758         0      98.5      99.67709.4965919.347082912261.52382.74585672
      1994 2631260001.22629609   9629090     27750     2735075.6195122    2.0015   56.2992         0      99.4       9.8         0        8996.4733582   0.99868   3028844         0      98.6      99.67757.8308219.360892112455.16224.03764343
      1995 2662780001.19078709   9629090     29150     2855075.6219512     1.978   54.6428      76.4      99.4       9.5         0        8895.05888371.00830996   3029930         0      98.6      99.67763.7551119.276545312659.60762.71897579
      1996 2693940001.16341162   9629090     30380     2998076.0268293     1.976   52.9864         0      99.4       9.2         0        9194.72489170.99989003   3031016         0      98.7      99.77844.4682719.496024712854.29893.79588123
      1997 272657000 1.2039603   9629090     31390     3162076.4292683     1.971     51.33         0      99.4       8.9         0        91         0         0   3032102         0      98.7      99.7 7828.581119.690363212889.83234.48702649
      1998 2758540001.16571453   9629090     32150     3323076.5804878     1.999   49.7042         0      99.4       8.7         0        9294.82893371.03635001   3033188         0      98.7      99.77803.6976119.5792362 13154.7634.44991096
      1999 2790400001.14834005   9629090     33780     3485076.5829268    2.0075   48.0784         0      99.4       8.6         0        9294.0444412         0   3034274         0      98.8      99.77923.2238919.7271695  13281.874.68519961
      2000 282162411  1.112769   9632030     36070     3693076.6365854     2.056   46.4526         0      99.4       8.4         0        9193.17204291.00012004   3035360         0      98.8      99.78056.8638520.1787505 13671.0524.09217645
      2001 2849689550.98974138   9632030     36840     3786076.8365854    2.0305   44.8268         0      99.4       8.31.10000002        9193.95050811.00820005   3037802         0      98.8      99.87827.8863319.636505113046.61420.97598183
      2002 2876251930.92779749   9632030     37470     3859076.9365854    2.0205    43.201      72.8      99.5       8.21.29999995        9193.28764341.00371003   304024423.3621008      98.9      99.87843.3448519.613404113296.18231.78612769
      2003 2901079330.85948171   9632030     39950     3996077.0365854    2.0475   42.4946         0      99.3       8.1         0        9395.00524141.00662994   3042686         0      98.9      99.87794.2355319.5641045 13307.4922.80677596
